,tag,pattern,response
0,greeting,hi,Hey there!
1,greeting,hi,Hello! How can I assist you?
2,greeting,hi,"Hi, how's it going?"
3,greeting,hi,"Hey, nice to see you!"
4,greeting,hi,Hi there! What can I do for you today?
5,greeting,hi,Hello! Hope you're having a great day!
6,greeting,hey,Hey there!
7,greeting,hey,Hello! How can I assist you?
8,greeting,hey,"Hi, how's it going?"
9,greeting,hey,"Hey, nice to see you!"
10,greeting,hey,Hi there! What can I do for you today?
11,greeting,hey,Hello! Hope you're having a great day!
12,greeting,howdy,Hey there!
13,greeting,howdy,Hello! How can I assist you?
14,greeting,howdy,"Hi, how's it going?"
15,greeting,howdy,"Hey, nice to see you!"
16,greeting,howdy,Hi there! What can I do for you today?
17,greeting,howdy,Hello! Hope you're having a great day!
18,greeting,hello,Hey there!
19,greeting,hello,Hello! How can I assist you?
20,greeting,hello,"Hi, how's it going?"
21,greeting,hello,"Hey, nice to see you!"
22,greeting,hello,Hi there! What can I do for you today?
23,greeting,hello,Hello! Hope you're having a great day!
24,greeting,hi there,Hey there!
25,greeting,hi there,Hello! How can I assist you?
26,weather,what s the weather like today,The weather is sunny and warm today.
27,weather,what s the weather like today,"Currently, it's partly cloudy with a temperature of 75°F."
28,weather,what s the weather like today,It looks like there might be some showers later in the day.
29,weather,what s the weather like today,The weather forecast predicts clear skies and a high of 80°F.
30,weather,what s the weather like today,Expect a mix of sun and clouds with a chance of rain in the afternoon.
31,weather,tell I the current weather,The weather is sunny and warm today.
32,weather,tell I the current weather,"Currently, it's partly cloudy with a temperature of 75°F."
33,weather,tell I the current weather,It looks like there might be some showers later in the day.
34,weather,tell I the current weather,The weather forecast predicts clear skies and a high of 80°F.
35,weather,tell I the current weather,Expect a mix of sun and clouds with a chance of rain in the afternoon.
36,weather,how s the weather outside,The weather is sunny and warm today.
37,weather,how s the weather outside,"Currently, it's partly cloudy with a temperature of 75°F."
38,weather,how s the weather outside,It looks like there might be some showers later in the day.
39,weather,how s the weather outside,The weather forecast predicts clear skies and a high of 80°F.
40,weather,how s the weather outside,Expect a mix of sun and clouds with a chance of rain in the afternoon.
41,weather,be it go to rain,The weather is sunny and warm today.
42,weather,be it go to rain,"Currently, it's partly cloudy with a temperature of 75°F."
43,weather,be it go to rain,It looks like there might be some showers later in the day.
44,weather,be it go to rain,The weather forecast predicts clear skies and a high of 80°F.
45,weather,be it go to rain,Expect a mix of sun and clouds with a chance of rain in the afternoon.
46,weather,weather forecast,The weather is sunny and warm today.
47,weather,weather forecast,"Currently, it's partly cloudy with a temperature of 75°F."
48,weather,weather forecast,It looks like there might be some showers later in the day.
49,weather,weather forecast,The weather forecast predicts clear skies and a high of 80°F.
50,weather,weather forecast,Expect a mix of sun and clouds with a chance of rain in the afternoon.
51,farewell,goodbye,Goodbye! Feel free to come back anytime.
52,farewell,goodbye,See you later! Have a wonderful day.
53,farewell,goodbye,Talk to you soon! Take care.
54,farewell,goodbye,It was nice chatting with you too. Have a great day!
55,farewell,see you later,Goodbye! Feel free to come back anytime.
56,farewell,see you later,See you later! Have a wonderful day.
57,farewell,see you later,Talk to you soon! Take care.
58,farewell,see you later,It was nice chatting with you too. Have a great day!
59,farewell,talk to you soon,Goodbye! Feel free to come back anytime.
60,farewell,talk to you soon,See you later! Have a wonderful day.
61,farewell,talk to you soon,Talk to you soon! Take care.
62,farewell,tell I the current weather,It was nice chatting with you too. Have a great day!
63,farewell,it be nice chat with you,Goodbye! Feel free to come back anytime.
64,farewell,it be nice chat with you,See you later! Have a wonderful day.
65,farewell,it be nice chat with you,Talk to you soon! Take care.
66,farewell,it be nice chat with you,It was nice chatting with you too. Have a great day!
67,informal question,what s up,"Not much, just here to chat with you."
68,informal question,what s up,My day is going well. How about yours?
69,informal question,what s up,Nothing much is new. What about you?
70,informal question,what s up,"I'm an AI, so I don't have weekend plans, but I'm always here to chat!"
71,informal question,what s up,"Sure, here's a joke: Why don't scientists trust atoms? Because they make up everything!"
72,informal question,how s your day,"Not much, just here to chat with you."
73,informal question,how s your day,My day is going well. How about yours?
74,informal question,how s your day,Nothing much is new. What about you?
75,informal question,how s your day,"I'm an AI, so I don't have weekend plans, but I'm always here to chat!"
76,informal question,how s your day,"Sure, here's a joke: Why don't scientists trust atoms? Because they make up everything!"
77,informal question,what s new,"Not much, just here to chat with you."
78,informal question,what s new,My day is going well. How about yours?
79,informal question,what s new,Nothing much is new. What about you?
80,informal question,what s new,"I'm an AI, so I don't have weekend plans, but I'm always here to chat!"
81,informal question,what s new,"Sure, here's a joke: Why don't scientists trust atoms? Because they make up everything!"
82,informal question,get any plan for the weekend,"Not much, just here to chat with you."
83,informal question,get any plan for the weekend,My day is going well. How about yours?
84,informal question,get any plan for the weekend,Nothing much is new. What about you?
85,informal question,get any plan for the weekend,"I'm an AI, so I don't have weekend plans, but I'm always here to chat!"
86,informal question,get any plan for the weekend,"Sure, here's a joke: Why don't scientists trust atoms? Because they make up everything!"
87,informal question,tell I a joke,"Not much, just here to chat with you."
88,informal question,tell I a joke,My day is going well. How about yours?
89,informal question,tell I a joke,Nothing much is new. What about you?
90,informal question,tell I a joke,"I'm an AI, so I don't have weekend plans, but I'm always here to chat!"
91,informal question,tell I a joke,"Sure, here's a joke: Why don't scientists trust atoms? Because they make up everything!"
92,formal question,could you please provide more information,Certainly! I'd be happy to provide more information.
93,formal question,could you please provide more information,Of course! Feel free to ask your question.
94,formal question,could you please provide more information,"Sure, let me tell you about our pricing."
95,formal question,could you please provide more information,Absolutely! I'll be happy to elaborate on that topic.
96,formal question,may I ask a question,Certainly! I'd be happy to provide more information.
97,formal question,may I ask a question,Of course! Feel free to ask your question.
98,formal question,may I ask a question,"Sure, let me tell you about our pricing."
99,formal question,may I ask a question,Absolutely! I'll be happy to elaborate on that topic.
100,formal question,I would like to know about the pricing,Certainly! I'd be happy to provide more information.
101,formal question,I would like to know about the pricing,Of course! Feel free to ask your question.
102,formal question,I would like to know about the pricing,"Sure, let me tell you about our pricing."
103,formal question,I would like to know about the pricing,Absolutely! I'll be happy to elaborate on that topic.
104,formal question,could you elaborate on that,Certainly! I'd be happy to provide more information.
105,formal question,could you elaborate on that,Of course! Feel free to ask your question.
106,formal question,could you elaborate on that,"Sure, let me tell you about our pricing."
107,formal question,could you elaborate on that,Absolutely! I'll be happy to elaborate on that topic.
108,motivation,I feel demotivated,Remember that every great journey starts with a small step. Keep moving forward!
109,motivation,I feel demotivated,Challenges are what make life interesting. Embrace them and stay motivated!
110,motivation,I feel demotivated,"Believe in yourself, for you are capable of achieving incredible things!"
111,motivation,I feel demotivated,Your dreams are within reach. Stay focused and motivated to turn them into reality.
112,motivation,I feel demotivated,Don't be discouraged by setbacks. They are stepping stones to success. Keep going!
113,motivation,how can I stay motivated,Remember that every great journey starts with a small step. Keep moving forward!
114,motivation,how can I stay motivated,Challenges are what make life interesting. Embrace them and stay motivated!
115,motivation,how can I stay motivated,"Believe in yourself, for you are capable of achieving incredible things!"
116,motivation,how can I stay motivated,Your dreams are within reach. Stay focused and motivated to turn them into reality.
117,motivation,how can I stay motivated,Don't be discouraged by setbacks. They are stepping stones to success. Keep going!
118,motivation,I need some motivation,Remember that every great journey starts with a small step. Keep moving forward!
119,motivation,I need some motivation,Challenges are what make life interesting. Embrace them and stay motivated!
120,motivation,I need some motivation,Believe in yourself, for you are capable of achieving incredible things!, for you are capable of achieving incredible things!"
121,motivation,I need some motivation,Your dreams are within reach. Stay focused and motivated to turn them into reality.
122,motivation,I need some motivation,Don't be discouraged by setbacks. They are stepping stones to success. Keep going!
123,motivation,feel low any motivational word,Remember that every great journey starts with a small step. Keep moving forward!
124,motivation,feel low any motivational word,Challenges are what make life interesting. Embrace them and stay motivated!
125,motivation,feel low any motivational word,"Believe in yourself, for you are capable of achieving incredible things!"
126,motivation,feel low any motivational word,Your dreams are within reach. Stay focused and motivated to turn them into reality.
127,motivation,feel low any motivational word,Don't be discouraged by setbacks. They are stepping stones to success. Keep going!
128,team building,how can I build a strong team,Building trust among team members is crucial for a strong and united team.
129,team building,how can I build a strong team,Encourage open communication and active listening within your team.
130,team building,how can I build a strong team,Recognize and appreciate the unique strengths and contributions of each team member.
131,team building,how can I build a strong team,Set clear goals and ensure everyone understands their role in achieving them.
132,team building,how can I build a strong team,Plan team-building activities to promote bonding and camaraderie among team members.
133,team building,any tip for foster teamwork,Building trust among team members is crucial for a strong and united team.
134,team building,any tip for foster teamwork,Encourage open communication and active listening within your team.
135,team building,any tip for foster teamwork,Recognize and appreciate the unique strengths and contributions of each team member.
136,team building,any tip for foster teamwork,Set clear goals and ensure everyone understands their role in achieving them.
137,team building,any tip for foster teamwork,Plan team-building activities to promote bonding and camaraderie among team members.
138,team building,what make a successful team,Building trust among team members is crucial for a strong and united team.
139,team building,what make a successful team,Encourage open communication and active listening within your team.
140,team building,what make a successful team,Recognize and appreciate the unique strengths and contributions of each team member.
141,team building,what make a successful team,Set clear goals and ensure everyone understands their role in achieving them.
142,team building,what make a successful team,Plan team-building activities to promote bonding and camaraderie among team members.
143,supporting others,how can I support and encourage other,Be a good listener and offer your empathy and understanding.
144,supporting others,how can I support and encourage other,Provide words of encouragement and remind them of their strengths.
145,supporting others,how can I support and encourage other,Offer a helping hand and let them know you are there for them.
146,supporting others,how can I support and encourage other,Celebrate their successes and support them during challenging times.
147,supporting others,how can I support and encourage other,Show kindness and spread positivity to make a difference in someone's life.
148,supporting others,what can I do to uplift someone s spirit,Be a good listener and offer your empathy and understanding.
149,supporting others,what can I do to uplift someone s spirit,Provide words of encouragement and remind them of their strengths.
150,supporting others,what can I do to uplift someone s spirit,Offer a helping hand and let them know you are there for them.
151,supporting others,what can I do to uplift someone s spirit,Celebrate their successes and support them during challenging times.
152,supporting others,what can I do to uplift someone s spirit,Show kindness and spread positivity to make a difference in someone's life.
153,supporting others,tip for be a supportive friend,Be a good listener and offer your empathy and understanding.
154,supporting others,tip for be a supportive friend,Provide words of encouragement and remind them of their strengths.
155,supporting others,tip for be a supportive friend,Offer a helping hand and let them know you are there for them.
156,supporting others,tip for be a supportive friend,Celebrate their successes and support them during challenging times.
157,supporting others,tip for be a supportive friend,Show kindness and spread positivity to make a difference in someone's life.
158,overcoming adversity,how do I stay strong during tough time,Remember that challenges are opportunities for growth and resilience.
159,overcoming adversity,how do I stay strong during tough time,Take one step at a time and focus on the solutions rather than the problems.
160,overcoming adversity,how do I stay strong during tough time,"Seek support from friends, family, or professionals if needed."
161,overcoming adversity,how do I stay strong during tough time,Maintain a positive outlook and keep reminding yourself of your strengths.
162,overcoming adversity,how do I stay strong during tough time,Believe in your ability to overcome obstacles; you are stronger than you think!
163,overcoming adversity,deal with adversity any advice,Remember that challenges are opportunities for growth and resilience.
164,overcoming adversity,deal with adversity any advice,Take one step at a time and focus on the solutions rather than the problems.
165,overcoming adversity,deal with adversity any advice,"Seek support from friends, family, or professionals if needed."
166,overcoming adversity,deal with adversity any advice,Maintain a positive outlook and keep reminding yourself of your strengths.
167,overcoming adversity,deal with adversity any advice,Believe in your ability to overcome obstacles; you are stronger than you think!
168,overcoming adversity,tip for overcome challenge,Remember that challenges are opportunities for growth and resilience.
169,overcoming adversity,tip for overcome challenge,Take one step at a time and focus on the solutions rather than the problems.
170,overcoming adversity,tip for overcome challenge,"Seek support from friends, family, or professionals if needed."
171,overcoming adversity,tip for overcome challenge,Maintain a positive outlook and keep reminding yourself of your strengths.
